abstract,cleaned_abstract,topic
"A system and method for adapting an errant automated decisioning workflow includes reconfiguring digital abuse or digital fraud logic parameters associated with automated decisioning routes of an automated decisioning workflow in response to identifying an anomalous drift or an anomalous shift in efficacy metrics of the automated decisioning workflow, wherein the automated decisioning workflow includes a plurality of distinct automated decisioning routes that, when applied in a digital threat evaluation of data associated with a target digital event, automatically compute a decision for disposing the target digital event based on a probability digital fraud; simulating, by computers, a performance of the automated decisioning routes in a reconfigured state based on inputs of historical digital event data; calculating simulation metrics based on simulation output data of the simulation; and promoting to an in-production state the automated decisioning workflow having the automated decisioning routes in the reconfigured state.",system method adapting errant automated decisioning workflow includes reconfiguring digital abuse digital fraud logic parameter associated automated decisioning route automated decisioning workflow response identifying anomalous drift anomalous shift efficacy metric automated decisioning workflow wherein automated decisioning workflow includes plurality distinct automated decisioning route applied digital threat evaluation data associated target digital event automatically compute decision disposing target digital event based probability digital fraud simulating computer performance automated decisioning route reconfigured state based input historical digital event data calculating simulation metric based simulation output data simulation promoting inproduction state automated decisioning workflow automated decisioning route reconfigured state,2
"Disclosed are a method for correcting psychological damage based on cyberbullying and Internet addiction using smart device linkage, and an apparatus for the same. The method for correcting psychological damage according to an embodiment of the present invention comprises the following steps: monitoring the use of a first smart device which is used by a user; monitoring the use of a second smart device which is interlocked with the first smart device and is capable of measuring biometric data of the user; generating a diagnosis result on whether or not the user has suffered from cyberbullying and is addicted to the Internet based on monitoring results; and generating correction feedback for an item to be corrected determined based on the diagnosis result, and providing the correction feedback through the first smart device or the second smart device. An objective of the present invention is to accurately diagnose a psychological state of a user caused by cyberbullying and whether or not the user is addicted to the Internet through Internet usage monitoring using interlocked smart devices, and to correct the user's psychological damage based on diagnosed results.",disclosed method correcting psychological damage based cyberbullying internet addiction using smart device linkage apparatus method correcting psychological damage according embodiment present invention comprises following step monitoring use first smart device used user monitoring use second smart device interlocked first smart device capable measuring biometric data user generating diagnosis result whether user suffered cyberbullying addicted internet based monitoring result generating correction feedback item corrected determined based diagnosis result providing correction feedback first smart device second smart device objective present invention accurately diagnose psychological state user caused cyberbullying whether user addicted internet internet usage monitoring using interlocked smart device correct user psychological damage based diagnosed result,-1
"The invention discloses a permission abuse detection method and device, electronic equipment and a readable storage medium, and relates to the technical field of neural networks, and the method comprises the steps: obtaining operation behavior data corresponding to an operation behavior of a user on the electronic equipment; acquiring system state information of the electronic equipment; obtaining access information corresponding to the access operation of the target application program on the private data; based on the operation behavior data, the system state information and the access information, determining a permission abuse detection result of the target application program through a pre-trained permission abuse detection model; and outputting a malicious access prompt under the condition of determining that the target application program has malicious access based on the permission abuse detection result. According to the application, the problems of user information leakage and poor user experience caused by malicious access of the target application program to the privacy data of the user are avoided.",invention discloses permission abuse detection method device electronic equipment readable storage medium relates technical field neural network method comprises step obtaining operation behavior data corresponding operation behavior user electronic equipment acquiring system state information electronic equipment obtaining access information corresponding access operation target application program private data based operation behavior data system state information access information determining permission abuse detection result target application program pretrained permission abuse detection model outputting malicious access prompt condition determining target application program malicious access based permission abuse detection result according application problem user information leakage poor user experience caused malicious access target application program privacy data user avoided,1
"The invention relates to a method for protecting a user of one or more social networks (3) or video games (4) from the risks of cyberbullying, wherein this user has a device (6-10) connected to a communication network (2) for accessing digital content originating from the one or more social networks (3) or video games (4), or for receiving digital content originating from one or more other users of the one or more social networks (3) or video games (4), and wherein the method comprises steps of performing a semantic and contextual analysis, of processing the results of the semantic and contextual analysis in order to detect a situation of cyberbullying or toxicity, and, in the event of detection of a situation of cyberbullying or toxicity in digital content, displaying the toxic digital content thus detected on the screen of the connected device. This method further comprises, upstream of the semantic and contextual analysis step, a step of collecting (data mining) digital content from a data stream received from a social network, and a step of recording, in a blockchain, a set of descriptive data describing this cyberbullying or toxicity.",invention relates method protecting user one social network video game risk cyberbullying wherein user device connected communication network accessing digital content originating one social network video game receiving digital content originating one user one social network video game wherein method comprises step performing semantic contextual analysis processing result semantic contextual analysis order detect situation cyberbullying toxicity event detection situation cyberbullying toxicity digital content displaying toxic digital content thus detected screen connected device method comprises upstream semantic contextual analysis step step collecting data mining digital content data stream received social network step recording blockchain set descriptive data describing cyberbullying toxicity,0
"Neural network systems are provided that comprise one or more neural networks. The first neural network can comprise a convolutional neural network (CNN) long short-term memory (LSTM) architecture for receiving a primary data set comprising text messages and output a primary data structure comprising a text pattern-based feature. The second neural network can comprise a CNN architecture for receiving a secondary data sets derived from the primary data set and output a plurality of secondary data structures. The third neural network can combine the data structures to produce a combined data structure, and then process it to produce a categorized data structure comprising the text messages assigned to targets. The primary data set can comprise hate speech and the categorized data structure can comprise target categories, for example, hate targets. Methods of operating neural network systems and computer program products for performing such methods are also provided.",neural network system provided comprise one neural network first neural network comprise convolutional neural network cnn long shortterm memory lstm architecture receiving primary data set comprising text message output primary data structure comprising text patternbased feature second neural network comprise cnn architecture receiving secondary data set derived primary data set output plurality secondary data structure third neural network combine data structure produce combined data structure process produce categorized data structure comprising text message assigned target primary data set comprise hate speech categorized data structure comprise target category example hate target method operating neural network system computer program product performing method also provided,0
"Systems and methods for access key abuse detection, the systems and methods including steps of receiving activity data relating to an access key from cloud providers associated with a cloud-based system, generating a baseline for the access key based on the activity data, monitoring activities associated with the access key in the cloud-based system, and calculating a score for monitored activities based on a comparison of the monitored activities to the baseline. The present scoring system helps identify an abnormal and risky activity that indicates an attacker is abusing the access key. In addition, a baseline is created for a plurality of selected attributes that present the normal access key usage in order to identify malicious abnormal activities.",system method access key abuse detection system method including step receiving activity data relating access key cloud provider associated cloudbased system generating baseline access key based activity data monitoring activity associated access key cloudbased system calculating score monitored activity based comparison monitored activity baseline present scoring system help identify abnormal risky activity indicates attacker abusing access key addition baseline created plurality selected attribute present normal access key usage order identify malicious abnormal activity,1
A server system is provided that includes one or more processors configured to execute a platform for an online multi-user chat service that communicates with a plurality of client devices of users of the online multi-user chat service that exchanges user chat data between the plurality of client devices. The one or more processors are configured to execute a user chat filtering program that performs filter actions for user chat data exchanged on the platform for the online multi-user chat service. The user chat filtering program includes a plurality of trained machine learning models and a filter decision service that determines a filter action to be performed for target portions of user chat data based on output of the plurality of trained machine learning models for those target portions of user chat data.,server system provided includes one processor configured execute platform online multiuser chat service communicates plurality client device user online multiuser chat service exchange user chat data plurality client device one processor configured execute user chat filtering program performs filter action user chat data exchanged platform online multiuser chat service user chat filtering program includes plurality trained machine learning model filter decision service determines filter action performed target portion user chat data based output plurality trained machine learning model target portion user chat data,-1
"A computer-implemented method for detecting market abuse in a data processing system, the method comprising: collecting a plurality of first events associated with a first stock trade occurring within a predetermined period of time; grouping the plurality of first events into different event groups, each group having a different type of first events; encoding each first event as one or more characters, and encoding each type of first events as a first string; collecting all the first strings in a sequence corresponding to different types of first events; feeding the sequence of first strings into a trained machine learning model; and determining, by the trained machine learning model, whether there is market abuse in the first stock trade.",computerimplemented method detecting market abuse data processing system method comprising collecting plurality first event associated first stock trade occurring within predetermined period time grouping plurality first event different event group group different type first event encoding first event one character encoding type first event first string collecting first string sequence corresponding different type first event feeding sequence first string trained machine learning model determining trained machine learning model whether market abuse first stock trade,2
"A system 100 and method to detect online threats and protect online assets. A user module 202 registers user(s) and stores user identity details of one or more social media platforms associated with the users. A monitoring module 204 monitors electronic communications corresponding to the social media platforms associated with registered users. An artificial intelligence module 206 learns user preferences and behaviours of the registered users associated with the social media platforms and creates customized security measures for the registered users. Preferably, the artificial intelligence module detects anomalous behaviours and generates a customised security action plan based on the detected anomalies. A notification module 208 analyses the social media platforms of the registered users to identity potential security threats and generate alert notifications to the corresponding registered users on the identified potential security threats. An action module 210 enables the registered users to initiate action against identified potential security threats.",system method detect online threat protect online asset user module register user store user identity detail one social medium platform associated user monitoring module monitor electronic communication corresponding social medium platform associated registered user artificial intelligence module learns user preference behaviour registered user associated social medium platform creates customized security measure registered user preferably artificial intelligence module detects anomalous behaviour generates customised security action plan based detected anomaly notification module analysis social medium platform registered user identity potential security threat generate alert notification corresponding registered user identified potential security threat action module enables registered user initiate action identified potential security threat,2
"An audio comment feature is added to livestream chat. A viewer of the livestream can record (402) a voice clip and post (800) that audio comment to the chat. A screening system ingests the audio clip, converting it (802) to text using a speech-to-text algorithm. The text version of the audio clip is processed (904) by an AI moderation algorithm to filter out (908) objectionable content. Clips that pass through the filter are displayed (906) to the livestreamer as a text comment with an option to play the audio live on the air. The livestreamer can watch this feed of text comments during the stream. Upon identifying a comment worth broadcasting on the stream, the streamer can click a Play button on the text version of the comment to play (504) the audio version of the comment live on the stream.",audio comment feature added livestream chat viewer livestream record voice clip post audio comment chat screening system ingests audio clip converting text using speechtotext algorithm text version audio clip processed moderation algorithm filter objectionable content clip pas filter displayed livestreamer text comment option play audio live air livestreamer watch feed text comment stream upon identifying comment worth broadcasting stream streamer click play button text version comment play audio version comment live stream,0
"Endorsement abuse detection via social interactions is described, including generating an endorsement log comprising an endorser identifier, a target identifier, endorsement data, and a token indicative of an endorsement event; analyzing the endorsement log with respect to a user aggregator and a target aggregator, to generate an online endorsement abuse candidate; generating an endorsement overlap graph for the online endorsement abuse candidate based on the endorsement log, the user aggregator and the target aggregator, wherein nodes of the endorsement overlap graph represent ones of the online endorsement abuse candidate, and edges represent a number of shared endorsements; and determining whether the endorsement event is authorized based an analysis of the endorsement overlap graph and an orthogonal signal at least one of transmitted and received by the ones of the online endorsement abuse candidate.",endorsement abuse detection via social interaction described including generating endorsement log comprising endorser identifier target identifier endorsement data token indicative endorsement event analyzing endorsement log respect user aggregator target aggregator generate online endorsement abuse candidate generating endorsement overlap graph online endorsement abuse candidate based endorsement log user aggregator target aggregator wherein node endorsement overlap graph represent one online endorsement abuse candidate edge represent number shared endorsement determining whether endorsement event authorized based analysis endorsement overlap graph orthogonal signal least one transmitted received one online endorsement abuse candidate,1
"Disclosed in the present application are a clustering analysis-based domain name abuse detection method and system. The method comprises: selecting multi-dimensional features of a domain name application; establishing an one-dimensional feature coordinate system corresponding to each feature amongst the multi-dimensional features, the one-dimensional feature coordinate system being used for identifying the position in the coordinate system of a numerical value of the feature converted according to a preset numerical standard; according to all of the one-dimensional feature coordinate systems, establishing a multi-dimensional feature coordinate system; according to a domain name list or a URL list, acquiring a preset number of domain name applications; collecting multi-dimensional features of the domain name applications; according to the preset numerical standard, converting each feature amongst the domain name multi-dimensional features into a numerical value identified in the multi-dimensional feature coordinate system; and calculating the aggregation condition of the domain name applications according to the numerical values identified in the multi-dimensional feature coordinate system, and obtaining a domain name abuse detection result according to the aggregation condition. Therefore, the purposes of not depending on a single feature, high detection efficiency and high accuracy are achieved.",disclosed present application clustering analysisbased domain name abuse detection method system method comprises selecting multidimensional feature domain name application establishing onedimensional feature coordinate system corresponding feature amongst multidimensional feature onedimensional feature coordinate system used identifying position coordinate system numerical value feature converted according preset numerical standard according onedimensional feature coordinate system establishing multidimensional feature coordinate system according domain name list url list acquiring preset number domain name application collecting multidimensional feature domain name application according preset numerical standard converting feature amongst domain name multidimensional feature numerical value identified multidimensional feature coordinate system calculating aggregation condition domain name application according numerical value identified multidimensional feature coordinate system obtaining domain name abuse detection result according aggregation condition therefore purpose depending single feature high detection efficiency high accuracy achieved,1
Fraud and abuse detection in an entity's payment coding practices includes the ability to search for fraud at all levels of the hierarchical coded payment system within the context of an unsupervised model. The model uses variables derived and profiles created at any level or at all levels of the hierarchical coded payment system to create a comprehensive description of the payment coding activities submitted by the entity. That description is compared with other peer entities to determine unusual and To potentially inappropriate activity. The profiles created may themselves be utilized for purposes other than the detection of fraud and abuse.,fraud abuse detection entity payment coding practice includes ability search fraud level hierarchical coded payment system within context unsupervised model model us variable derived profile created level level hierarchical coded payment system create comprehensive description payment coding activity submitted entity description compared peer entity determine unusual potentially inappropriate activity profile created may utilized purpose detection fraud abuse,-1
Fraud and abuse detection in an entity's payment coding practices includes the ability to search for fraud at all levels of the hierarchical coded payment system within the context of an unsupervised model. The model uses variables derived and profiles created at any level or at all levels of the hierarchical coded payment system to create a comprehensive description of the payment coding activities submitted by the entity. That description is compared with other peer entities to determine unusual and potentially inappropriate activity. The profiles created may themselves be utilized for purposes other than the detection of fraud and abuse.,fraud abuse detection entity payment coding practice includes ability search fraud level hierarchical coded payment system within context unsupervised model model us variable derived profile created level level hierarchical coded payment system create comprehensive description payment coding activity submitted entity description compared peer entity determine unusual potentially inappropriate activity profile created may utilized purpose detection fraud abuse,-1
A method for online voice content moderation provides a multi-stage voice content analysis system. The system includes a pre-moderator stage having a toxicity scorer configured to provide a toxicity score for a given toxic speech content from a user. The toxicity score is a function of a platform content policy. The method generates a toxicity score for the given toxic speech content. The toxic speech content is provided to a moderator as a function of the toxicity score.,method online voice content moderation provides multistage voice content analysis system system includes premoderator stage toxicity scorer configured provide toxicity score given toxic speech content user toxicity score function platform content policy method generates toxicity score given toxic speech content toxic speech content provided moderator function toxicity score,-1
"A client computer may be configured to perform computer security operation services, such as malicious code scanning and protection against online threats, using one of several remotely located server computers. The client computer may be configured to determine an operational state of the server computers and determine a protection status of the client computer resulting from use of a server computer of a particular operational state. The protection status may have one of at least three levels and indicate vulnerability of the client computer. The client computer may determine the operational state of a server computer based on available bandwidth for network communication between the client computer and the server computer. The client computer may be configured to allow for automatic or manual selection of another server computer when the currently selected server computer results in the client computer having a protection status below a threshold level.",client computer may configured perform computer security operation service malicious code scanning protection online threat using one several remotely located server computer client computer may configured determine operational state server computer determine protection status client computer resulting use server computer particular operational state protection status may one least three level indicate vulnerability client computer client computer may determine operational state server computer based available bandwidth network communication client computer server computer client computer may configured allow automatic manual selection another server computer currently selected server computer result client computer protection status threshold level,2
"Disclosed herein are techniques for determining brand safety of a video including image frames and audio content. In some embodiments, frame-level features, scene-level features, and video-level features are extracted by a set of frame-level models, a set of scene-level models, and a set of video-level models, respectively. Outputs from lower level models are used as inputs for higher level models. A brand safety score indicating whether it is safe to associate a brand with the video is determined based on the outputs from the set of video-level models. In some embodiments, commercial content associated with the brand is insert into the video that is determined to be safe for the brand.",disclosed herein technique determining brand safety video including image frame audio content embodiment framelevel feature scenelevel feature videolevel feature extracted set framelevel model set scenelevel model set videolevel model respectively output lower level model used input higher level model brand safety score indicating whether safe associate brand video determined based output set videolevel model embodiment commercial content associated brand insert video determined safe brand,0
"According to one aspect of the present invention, a system and methodology is provided which controls whether or not content is permitted to be transmitted from a source device depending upon the nature of the content and/or other factors more fully described herein. Source devices may include devices such as mobile phones, tablets, netbooks, laptops, desktop computers, and any other devices which are capable of transmitting content which is resident on such device. As an example, inappropriate photographs may be identified by the system of the present invention, and when a user attempts to transmit one or more of these photographs, the system will prevent the user from doing so.",according one aspect present invention system methodology provided control whether content permitted transmitted source device depending upon nature content andor factor fully described herein source device may include device mobile phone tablet netbooks laptop desktop computer device capable transmitting content resident device example inappropriate photograph may identified system present invention user attempt transmit one photograph system prevent user,-1
"Provided is a system for providing a blockchain-based abusing detection service. The system comprises: a user terminal which corresponds to at least one node constituting a blockchain network, generates at least one type of event, and is processed as an abuser when at least one type of event matches a preset abusing pattern; and a detection service providing server including an abusing database unit which maps the at least one type of event to at least one abusing pattern and stores the same, a monitoring unit which monitors whether the at least one type of event generated by the user terminal matches the preset abusing pattern, and a processing unit which processes the user terminal as an abuser when the at least one type of event generated by the user terminal matches the preset abusing pattern. Therefore, the system can detect abusing in real time depending on the type of platform accessed by the user terminal and an event generated thereby, can create blocks constituting a blockchain, and can process the user terminal as an abuser before the blocks are shared.",provided system providing blockchainbased abusing detection service system comprises user terminal corresponds least one node constituting blockchain network generates least one type event processed abuser least one type event match preset abusing pattern detection service providing server including abusing database unit map least one type event least one abusing pattern store monitoring unit monitor whether least one type event generated user terminal match preset abusing pattern processing unit process user terminal abuser least one type event generated user terminal match preset abusing pattern therefore system detect abusing real time depending type platform accessed user terminal event generated thereby create block constituting blockchain process user terminal abuser block shared,-1
"The present invention is related to a machine learning system for cyberbullying detection and prevention on social platforms. As people spend more time utilising technology that keeps them constantly connected to other people, cyberbullying is becoming increasingly common. Cyberbullies can communicate with their victims in a variety of ways, including text messaging, social networking websites, and instant messaging through the internet. Cyberbullying is a significant issue that, like traditional bullying, may make the victim feel inadequate and unduly self-conscious and even lead to suicidal thoughts. Fake news and fake messages are a huge threat to the community since they can lead to theft and commotion, thus calling for the need for cybersecurity. It is paramount to detect and ensure safety across social platforms. This invention proposes an approach to detecting cyberbullying. Out of the three classifiers used decision tree (77.54%), Nave Bayes (73.32%), and SVM (82.12%), SVM was more accurate than the others.",present invention related machine learning system cyberbullying detection prevention social platform people spend time utilising technology keep constantly connected people cyberbullying becoming increasingly common cyberbullies communicate victim variety way including text messaging social networking website instant messaging internet cyberbullying significant issue like traditional bullying may make victim feel inadequate unduly selfconscious even lead suicidal thought fake news fake message huge threat community since lead theft commotion thus calling need cybersecurity paramount detect ensure safety across social platform invention proposes approach detecting cyberbullying three classifier used decision tree nave bayes svm svm accurate others,0
"A method for determining sensitivity-based bias of text includes detecting an input action performed by a user from a plurality of actions, wherein the plurality of actions comprises typing one or more words on a virtual keyboard of a user device and accessing readable content on the user device. When the input action is accessing the readable content on the user device, determining the readable content to be insensitive by parsing the readable content and feeding the parsed readable content to a machine learning (ML) model, wherein the ML model is trained with insensitive datasets of an adversarial database, and presenting a first alert message on the user device before displaying the readable content completely on the user device when the readable content is determined to be insensitive. When the input action is typing the one or more words on the virtual keyboard of the user device, determining the one or more words to be insensitive by parsing the one or more words and feeding the parsed one or more words to the ML model, predicting that a next word to be suggested is insensitive when the one or more words are determined to be insensitive, and performing at least one of presenting a second alert message on the user device when the one or more words are determined to be insensitive, and presenting one or more alternate words for the next word as a suggestion for typing on the user device when the next word is predicted to be insensitive.",method determining sensitivitybased bias text includes detecting input action performed user plurality action wherein plurality action comprises typing one word virtual keyboard user device accessing readable content user device input action accessing readable content user device determining readable content insensitive parsing readable content feeding parsed readable content machine learning model wherein model trained insensitive datasets adversarial database presenting first alert message user device displaying readable content completely user device readable content determined insensitive input action typing one word virtual keyboard user device determining one word insensitive parsing one word feeding parsed one word model predicting next word suggested insensitive one word determined insensitive performing least one presenting second alert message user device one word determined insensitive presenting one alternate word next word suggestion typing user device next word predicted insensitive,0
"The disclosure deals with a system and method for mediating social media platforms automatically for user safety, including in particular for automatically or semi-automatically mediating social media platforms for user safety. People meet on online platforms and discuss a variety of topics. Moderators associated with those platforms play an important role in making the platform convenient and safe to users. This disclosure addresses detecting users who can act as potential moderators of an online group of support seekers and support providers in an online social media platform operating on the Internet. Such users are classified to identify the class of supportive users and class of non-supportive users of an online group. Received suggestions and other acquired data are used to identify a potential moderator for the online group. Acquired data on supportive and non-supportive users, as well as on harmful users, is then automatically supplied to the moderator.",disclosure deal system method mediating social medium platform automatically user safety including particular automatically semiautomatically mediating social medium platform user safety people meet online platform discus variety topic moderator associated platform play important role making platform convenient safe user disclosure address detecting user act potential moderator online group support seeker support provider online social medium platform operating internet user classified identify class supportive user class nonsupportive user online group received suggestion acquired data used identify potential moderator online group acquired data supportive nonsupportive user well harmful user automatically supplied moderator,-1
"The present invention relates to a series of methods and systems in respect of online media content. More specifically, the present invention relates to aspects of fact checking of online media content.",present invention relates series method system respect online medium content specifically present invention relates aspect fact checking online medium content,-1
"The invention discloses a local area network IP address abuse detection device and method, and the device comprises a plurality of external network ports, a display screen, a function key, a warning lamp, a control circuit board, and a loudspeaker. The output ends of the function key and the plurality of external network ports are connected with the input end of the control circuit board; comprising the following steps: step 1, detecting a device network port to access a local area network switch mirror port for the first time; 2, storing the source IP address and the source MAC address analyzed in the step 1 in pairs in a database; 3, confirming a rule template; 4, comparing the IP in the latest ARP table with the IP in the rule template one by one; step 5, comparing the MAC in the latest ARP table with the MAC in the rule template one by one; and step 6, once the violation condition is verified in the step 4 and the step 5, automatically triggering an alarm program and carrying out buzzing alarm. According to the invention, the phenomena of IP address embezzlement, illegal occupation, conflicts and the like can be found in time, and the management and maintenance efficiency of the local area network is improved.",invention discloses local area network address abuse detection device method device comprises plurality external network port display screen function key warning lamp control circuit board loudspeaker output end function key plurality external network port connected input end control circuit board comprising following step step detecting device network port access local area network switch mirror port first time storing source address source mac address analyzed step pair database confirming rule template comparing latest arp table rule template one one step comparing mac latest arp table mac rule template one one step violation condition verified step step automatically triggering alarm program carrying buzzing alarm according invention phenomenon address embezzlement illegal occupation conflict like found time management maintenance efficiency local area network improved,1
"A wireless provisioning device (WPD) is a computer data traffic management system capable of routing TCP/IP traffic using unlicensed spectrum equipment. This WPR is to be strategically placed in logical segment regions within a wireless network to facilitate data traffic management. This device acts to provide connectivity between wireless backbone access points. The device may also be located within customer local area network (LAN) while providing connectivity to a wide area network (WAN). The wireless device has seven total wireless segments. The wireless device is capable of filtering IP addresses, spam, pornographic content, steganographic decryption, controlling firewall and/or routing and/or bridging. The increases effective throughput of TCP/IP traffic over the WAN or LAN while providing for secure management and greater connectivity.",wireless provisioning device wpd computer data traffic management system capable routing tcpip traffic using unlicensed spectrum equipment wpr strategically placed logical segment region within wireless network facilitate data traffic management device act provide connectivity wireless backbone access point device may also located within customer local area network lan providing connectivity wide area network wan wireless device seven total wireless segment wireless device capable filtering address spam pornographic content steganographic decryption controlling firewall andor routing andor bridging increase effective throughput tcpip traffic wan lan providing secure management greater connectivity,-1
"Systems and methods of the present invention provide for detecting and mitigating abuse of unsolicited email or “spam.” An administrator may select one or more contacts from a list of contacts to opt in to receive an email distribution. An abuse detection software may then determine for each contact in the contact list whether the contact has read the email distribution and reported the email distribution as an unsolicited email message. If so, an abuse department may place a hold on the email distribution (possibly using abuse mitigation software) and display an alert referring the administrator to the abuse department for review of the account. Otherwise, the email distribution may continue to completion.",system method present invention provide detecting mitigating abuse unsolicited email spam administrator may select one contact list contact opt receive email distribution abuse detection software may determine contact contact list whether contact read email distribution reported email distribution unsolicited email message abuse department may place hold email distribution possibly using abuse mitigation software display alert referring administrator abuse department review account otherwise email distribution may continue completion,1
"Disclosed herein are techniques and systems for classifying and moderating text using a machine learning approach that is based on a word embedding process. For instance, word embedding vectors may be used to determine clusters of associated text (e.g., similar words) from a corpus of comments maintained by a remote computing system. The remote computing system may then identify, within the corpus of comments, a subset of comments that include text from a given cluster that was determined, from human labeling input, to include a particular type of word or speech. Using this information, the corpus of comments may be labeled with one of multiple class labels. A machine learning model(s) may be trained to classify text as one of the multiple class labels using a sampled set of labeled comments as training data. At runtime, text can be moderated based on its class label.",disclosed herein technique system classifying moderating text using machine learning approach based word embedding process instance word embedding vector may used determine cluster associated text similar word corpus comment maintained remote computing system remote computing system may identify within corpus comment subset comment include text given cluster determined human labeling input include particular type word speech using information corpus comment may labeled one multiple class label machine learning model may trained classify text one multiple class label using sampled set labeled comment training data runtime text moderated based class label,0
"A system for filtering and managing user's generated textual content on social networks comprising a message screening, message setting, message adjusting and message classifying for the propose of processing the messages are limited in the scope as specified the said system setting wherein the invention objective is to prevent the spreading of undesirable messages on social networks.",system filtering managing user generated textual content social network comprising message screening message setting message adjusting message classifying propose processing message limited scope specified said system setting wherein invention objective prevent spreading undesirable message social network,-1
"A decentralized system for addressing disinformation in news includes a number of nodes connected over a distributed peer-to-peer blockchain-based network, a non-transitory computer-readable storage medium of at least one node having software instructions stored therein, which, when executed by a processor of the at least one node, cause the processor to display, on a display of an electronic device, a newsfeed comprising a number of news items received from one or more publishers, and moderate the content displayed on the display of the electronic device in response to a vote by members of a decentralized autonomous organization (DAO) in which the members of the DAO include the one or more publishers.",decentralized system addressing disinformation news includes number node connected distributed peertopeer blockchainbased network nontransitory computerreadable storage medium least one node software instruction stored therein executed processor least one node cause processor display display electronic device newsfeed comprising number news item received one publisher moderate content displayed display electronic device response vote member decentralized autonomous organization dao member dao include one publisher,-1
